cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
People,"Sex and Age","Total population",791545,"(+/- 13144 )",760064,"(+/- 9980 )",756675,"(+/- 3595 )",735797,"(+/- 3660 )",734322,"(+/- 2875 )",726540,"(+/- 8191 )",817787,"(+/- 10376 )",770177,"(+/- 14232 )",751595,"(+/- 11482 )",770391,"(+/- 11373 )"
People,"Sex and Age",Male,401063,"(+/- 7966 )",374046,"(+/- 5689 )",376646,"(+/- 2398 )",369593,"(+/- 2855 )",365748,"(+/- 2026 )",361675,"(+/- 5353 )",413691,"(+/- 8628 )",381819,"(+/- 8395 )",378170,"(+/- 7235 )",385121,"(+/- 7533 )"
People,"Sex and Age",Female,390482,"(+/- 9093 )",386018,"(+/- 6827 )",380029,"(+/- 2687 )",366204,"(+/- 2989 )",368574,"(+/- 2636 )",364865,"(+/- 5382 )",404096,"(+/- 7413 )",388358,"(+/- 8976 )",373425,"(+/- 8006 )",385270,"(+/- 6451 )"
People,"Sex and Age","Under 5 years",50099,"(+/- 3134 )",43244,"(+/- 2446 )",44316,"(+/- 1070 )",55043,"(+/- 1311 )",41922,"(+/- 1203 )",37632,"(+/- 2024 )",37553,"(+/- 3033 )",50497,"(+/- 3680 )",46065,"(+/- 3544 )",48912,"(+/- 2750 )"
People,"Sex and Age","5 to 9 years",50817,"(+/- 3648 )",42537,"(+/- 3543 )",46601,"(+/- 2399 )",59738,"(+/- 3219 )",38784,"(+/- 2756 )",39182,"(+/- 2983 )",36191,"(+/- 3089 )",50506,"(+/- 4114 )",40681,"(+/- 3012 )",51700,"(+/- 4294 )"
People,"Sex and Age","10 to 14 years",52545,"(+/- 4363 )",41359,"(+/- 3274 )",50328,"(+/- 2488 )",59559,"(+/- 3014 )",47763,"(+/- 2699 )",39201,"(+/- 3168 )",35938,"(+/- 3178 )",57359,"(+/- 3837 )",47584,"(+/- 4256 )",45814,"(+/- 3879 )"
People,"Sex and Age","15 to 19 years",45265,"(+/- 3440 )",42828,"(+/- 2862 )",46370,"(+/- 2028 )",54685,"(+/- 2509 )",52964,"(+/- 2282 )",39932,"(+/- 2336 )",39055,"(+/- 2931 )",55082,"(+/- 3502 )",37994,"(+/- 2911 )",45102,"(+/- 2752 )"
People,"Sex and Age","20 to 24 years",41641,"(+/- 4025 )",53736,"(+/- 3351 )",41840,"(+/- 1944 )",45378,"(+/- 2074 )",54853,"(+/- 2138 )",42073,"(+/- 2623 )",61170,"(+/- 4694 )",38962,"(+/- 3873 )",42120,"(+/- 4038 )",54049,"(+/- 3276 )"
People,"Sex and Age","25 to 34 years",108707,"(+/- 5531 )",115485,"(+/- 4818 )",99981,"(+/- 2645 )",100141,"(+/- 2249 )",101368,"(+/- 1855 )",99981,"(+/- 4505 )",184361,"(+/- 8220 )",92745,"(+/- 5433 )",143764,"(+/- 7378 )",117477,"(+/- 4976 )"
People,"Sex and Age","35 to 44 years",116208,"(+/- 5804 )",101572,"(+/- 4457 )",95975,"(+/- 2643 )",93023,"(+/- 2539 )",88212,"(+/- 1733 )",90020,"(+/- 3445 )",125944,"(+/- 5602 )",113809,"(+/- 5181 )",104635,"(+/- 4379 )",102847,"(+/- 4092 )"
People,"Sex and Age","45 to 54 years",110265,"(+/- 5045 )",88251,"(+/- 3574 )",94993,"(+/- 1791 )",78569,"(+/- 1990 )",82711,"(+/- 1691 )",81834,"(+/- 3589 )",99963,"(+/- 4669 )",101571,"(+/- 5548 )",95422,"(+/- 4505 )",92189,"(+/- 3575 )"
People,"Sex and Age","55 to 59 years",52565,"(+/- 3737 )",49363,"(+/- 3184 )",53557,"(+/- 3067 )",42229,"(+/- 2661 )",44782,"(+/- 3000 )",47211,"(+/- 2651 )",46385,"(+/- 3312 )",48958,"(+/- 3233 )",46211,"(+/- 3533 )",46798,"(+/- 3372 )"
People,"Sex and Age","60 to 64 years",50320,"(+/- 3746 )",50497,"(+/- 2958 )",46487,"(+/- 3026 )",41381,"(+/- 2268 )",52925,"(+/- 2542 )",54888,"(+/- 3237 )",42879,"(+/- 3626 )",49690,"(+/- 4257 )",43157,"(+/- 3464 )",50333,"(+/- 3669 )"
People,"Sex and Age","65 to 74 years",70892,"(+/- 4404 )",80013,"(+/- 2991 )",85099,"(+/- 1702 )",64611,"(+/- 1795 )",76428,"(+/- 1383 )",95760,"(+/- 2467 )",64497,"(+/- 3391 )",67641,"(+/- 3422 )",61043,"(+/- 3393 )",70324,"(+/- 2795 )"
People,"Sex and Age","75 to 84 years",30789,"(+/- 2594 )",37054,"(+/- 2076 )",38455,"(+/- 1664 )",28998,"(+/- 2035 )",37628,"(+/- 1900 )",44847,"(+/- 2485 )",30729,"(+/- 2933 )",30381,"(+/- 2949 )",27841,"(+/- 2121 )",34018,"(+/- 2357 )"
